ID_REF,GSM1110879,GSM1110880,GSM1110881,GSM1110882
1007_s_at,24.8302,25.4542,25.6869,25.7307
1053_at,25.6556,25.7486,25.9348,25.8511
117_at,22.3986,21.4459,22.136,21.6938
121_at,24.5789,24.5075,24.5385,24.5736
1255_g_at,21.416,21.0745,21.0107,21.1167
1294_at,23.6715,23.4425,22.9409,22.9591
1316_at,22.7604,23.1194,23.0321,23.0469
1320_at,22.685,22.5645,22.3561,21.9517
1405_i_at,21.7871,20.9456,20.4241,20.6058
1431_at,21.5216,21.2974,21.0166,21.3096
1438_at,22.1244,22.2699,22.3055,21.9426
1487_at,25.213,25.6546,25.3365,25.6815
1494_f_at,22.2604,22.455,22.8002,22.2353
1552256_a_at,25.6179,25.4234,25.7322,25.594
1552257_a_at,24.6056,25.0492,25.2631,25.4181
1552258_at,22.6891,22.0608,22.8633,22.2098
1552261_at,22.0527,22.7385,22.6666,22.8208
1552263_at,22.6718,22.8118,22.408,22.4606
1552264_a_at,23.2469,23.4106,23.0216,22.9896
1552266_at,20.7665,20.7149,20.6508,20.7213
1552269_at,21.9145,22.3023,22.049,22.3276
1552271_at,21.1494,20.9679,21.2118,20.637
1552272_a_at,22.3357,21.9671,22.2525,21.7706
1552274_at,23.7886,23.4681,23.3964,23.8053
1552275_s_at,23.5155,23.2542,22.763,23.0578
1552276_a_at,23.303,23.1354,23.5577,23.2812
1552277_a_at,26.9808,26.8877,26.8472,26.8512
1552278_a_at,21.8351,21.9644,21.8107,21.9391
1552279_a_at,22.907,23.2104,23.1091,23.0477
1552280_at,20.1411,20.0639,20.914,20.7009
1552281_at,23.2298,23.6536,23.7885,23.5169
1552283_s_at,22.8835,23.0223,23.2837,23.1543
1552286_at,22.5283,22.8984,22.5618,22.6392
1552287_s_at,24.8778,24.4358,24.4708,24.5387
1552288_at,20.3336,20.4213,20.6625,20.6803
1552289_a_at,21.3597,21.166,21.5063,21.2286
1552291_at,24.9658,25.3704,25.7647,25.4628
1552293_at,20.7595,20.7347,20.9111,20.5503
1552295_a_at,24.8014,24.7831,24.8115,24.8764
1552296_at,19.963,20.353,20.4171,20.2885
1552299_at,21.0575,20.875,20.9924,21.2544
1552301_a_at,22.3792,22.5619,22.3301,22.2393
1552302_at,22.1725,21.9885,22.3324,21.8518
1552303_a_at,22.4422,22.16,22.4087,21.8668
1552304_at,22.4566,22.5913,21.686,21.9347
1552306_at,23.3789,23.4506,23.0394,23.2736
1552307_a_at,22.1624,22.7308,22.2499,22.8891
1552309_a_at,24.264,25.0662,23.9719,25.6259
1552310_at,25.2611,24.8817,24.9312,24.8899
1552311_a_at,23.2477,22.9262,23.4027,23.0212
1552312_a_at,22.9734,22.9099,22.355,22.8879
1552314_a_at,21.6954,21.7641,21.7284,22.1084
1552315_at,22.0059,21.7307,21.9254,21.8039
1552316_a_at,19.8678,20.3288,20.0052,20.6184
1552318_at,24.2114,24.0766,24.2649,24.2068
1552319_a_at,23.1753,22.9205,23.2855,23.2264
1552320_a_at,21.5927,21.5938,21.5129,21.5437
1552321_a_at,19.8692,20.0568,20.4072,19.8141
1552322_at,21.1125,20.131,20.1769,19.8149
1552323_s_at,22.5472,21.3511,21.6221,21.0924
1552325_at,21.3632,21.4898,21.4199,21.4847
1552326_a_at,20.4727,20.5739,20.4291,20.6472
1552327_at,21.5439,21.7833,21.8021,21.4754
1552329_at,22.9455,21.9765,22.0027,22.2438
1552330_at,23.2078,22.7879,22.7563,22.7075
1552332_at,23.0473,23.4685,23.0314,23.2882
1552334_at,23.4044,23.4392,23.3806,23.3383
1552335_at,22.9317,23.1748,23.222,22.6374
1552337_s_at,22.2369,21.2828,21.5772,20.9711
1552338_at,20.13,20.2238,20.1329,20.1195
1552340_at,20.6303,20.7682,20.4697,20.2417
1552343_s_at,22.8194,22.6348,22.766,22.7459
1552344_s_at,22.1061,22.6298,22.6322,23.0568
1552347_at,24.1928,23.6266,24.2315,23.8182
1552348_at,21.9557,22.0512,22.2642,21.9411
1552349_a_at,22.3569,22.62,22.6943,22.707
1552354_at,19.8846,20.0927,20.4726,19.8193
1552355_s_at,20.6269,20.1665,20.6155,20.5958
1552359_at,20.4388,20.422,20.692,20.462
1552360_a_at,24.4414,24.231,23.9489,24.0934
1552362_a_at,21.9755,22.3884,22.3802,22.4062
1552364_s_at,24.337,24.2684,24.3025,24.1504
1552365_at,22.6185,23.0767,22.5711,22.8334
1552367_a_at,21.1009,21.0868,21.1033,21.1254
1552368_at,21.6926,21.6139,21.6064,21.7358
1552370_at,24.1471,23.0543,22.1406,22.3556
1552372_at,20.304,19.7838,19.7046,19.9912
1552373_s_at,20.2624,20.253,20.6136,20.1573
1552375_at,22.0611,21.3584,21.4853,21.2592
1552377_s_at,23.5974,23.5243,23.6961,23.5958
1552378_s_at,24.6256,24.3646,24.5788,24.2133
1552379_at,20.1122,20.1145,20.2647,20.3222
1552381_at,20.1736,20.0299,19.9615,20.1514
1552383_at,21.8111,21.9669,21.9953,21.8372
1552384_a_at,21.1185,20.924,20.6682,20.8334
1552386_at,23.7213,23.6798,24.0893,23.6155
1552388_at,21.1686,20.8887,21.0847,20.8864
1552389_at,23.2455,23.2808,23.4207,23.5414
1552390_a_at,24.6458,25.0538,24.9648,25.187
1552391_at,21.3152,21.6023,21.6616,21.7078
1552393_at,20.5037,20.2848,20.3734,20.2948
1552394_a_at,19.8675,19.7843,20.4046,20.1635
1552395_at,22.5272,22.6606,22.9937,22.6432
1552396_at,20.3903,20.0923,20.6647,20.3695
1552398_a_at,21.2064,20.4795,20.5673,20.8098
1552399_a_at,21.4011,20.0406,21.0,20.4745
1552400_a_at,22.3969,22.3721,22.9262,22.5233
1552401_a_at,22.3875,22.2547,22.4847,22.3652
1552402_at,21.6984,21.3652,21.3381,21.1325
1552405_at,20.7021,20.1897,20.6997,20.9239
1552408_at,21.1973,20.7532,21.0116,20.8335
1552409_a_at,20.3669,20.6518,20.6576,21.0131
1552410_at,22.2611,22.4522,22.3482,22.2695
1552411_at,21.3938,21.5312,21.5961,21.7767
1552412_a_at,20.7482,20.6433,20.7381,20.6928
1552414_at,20.7409,20.8166,20.6105,21.0107
1552415_a_at,21.3645,21.4863,21.6993,21.5055
1552417_a_at,24.5621,24.6766,24.0107,24.6055
1552418_at,20.6482,20.8938,20.7655,20.8737
1552419_s_at,21.6161,21.0061,21.9872,21.4272
1552421_a_at,21.163,21.222,20.8994,21.0967
1552422_at,21.1359,21.1387,20.9677,21.1372
1552423_at,23.3404,22.7441,22.6412,22.6446
1552424_at,19.9581,20.2188,19.8068,19.8575
1552425_a_at,21.9432,21.446,22.4934,21.6976
1552426_a_at,25.7409,25.354,25.2308,25.3002
1552427_at,22.6215,22.8327,22.2992,22.7893
1552430_at,21.5729,21.9376,21.5682,21.7836
1552432_at,20.7593,20.7027,20.8088,20.8402
1552436_a_at,21.174,20.5011,21.4214,20.7087
1552438_a_at,21.8668,21.9815,22.1408,22.0419
1552439_s_at,20.2338,20.0946,19.7046,19.815
1552440_at,20.8926,20.8716,21.1197,21.4557
1552445_a_at,22.5739,22.6525,22.9526,22.617
1552448_a_at,20.5413,20.5805,20.01,19.8143
1552449_a_at,20.5323,20.3805,20.7481,20.6756
1552450_a_at,21.3252,21.1155,21.0336,21.2706
1552452_at,20.4492,20.2026,20.1184,20.2381
1552453_a_at,20.9163,21.6002,20.8848,21.3771
1552455_at,20.5924,20.7061,20.7208,20.7743
1552456_a_at,19.9373,19.7844,20.7466,20.6683
1552457_a_at,20.1643,19.7839,20.317,19.8141
1552458_at,23.599,22.489,23.977,22.9325
1552459_a_at,20.371,20.7692,20.8096,20.8502
1552461_at,20.5701,20.4749,20.2603,20.5735
1552463_at,21.2308,21.2215,21.1564,20.8201
1552466_x_at,22.0778,22.1778,21.5155,22.4078
1552467_at,21.7919,21.5307,21.2665,21.4743
1552468_a_at,23.0954,23.1011,23.421,22.9275
1552470_a_at,22.1393,22.0542,22.0887,22.1193
1552472_a_at,24.0714,23.9912,23.6992,23.7843
1552473_at,23.7415,23.7902,23.9093,23.8485
1552474_a_at,24.742,24.4663,25.0755,24.7944
1552476_s_at,23.8881,23.9906,24.3453,24.0277
1552477_a_at,19.9953,20.5799,20.3595,21.2127
1552478_a_at,20.5737,20.3405,20.2223,20.8809
1552480_s_at,20.3322,20.6478,20.2443,20.0144
1552481_s_at,21.8041,21.9464,21.4873,21.8039
1552482_at,19.8679,20.0471,20.0528,20.8477
1552484_at,21.0293,21.102,21.3597,21.0494
1552485_at,23.6998,23.4804,23.1461,23.4028
1552486_s_at,23.9481,23.7827,23.4213,23.6273
1552487_a_at,21.5304,22.2696,21.7683,22.2596
1552489_s_at,21.2318,21.9685,22.2312,21.9852
1552490_at,21.276,21.2323,21.1323,20.9629
1552491_at,21.0493,21.3351,21.1695,20.9035
1552493_s_at,21.831,22.2245,22.3833,22.3963
1552494_at,21.7023,21.7261,22.0016,21.869
1552496_a_at,19.972,20.4442,19.8212,20.6078
1552497_a_at,21.5126,21.7825,22.0741,22.0724
1552498_at,22.2804,22.5433,22.6814,22.7712
1552499_a_at,21.116,20.4626,20.3722,20.6228
1552501_a_at,22.92,22.9075,22.9797,22.9028
1552502_s_at,22.2733,22.3789,22.339,22.4584
1552503_at,20.8839,21.4731,20.8392,21.0076
1552504_a_at,22.0822,22.2136,22.2039,22.3915
1552506_at,21.0306,19.7856,21.2096,19.9489
1552507_at,21.5105,21.3903,21.5707,21.7657
1552508_at,20.8059,20.8733,20.5479,20.2882
1552509_a_at,21.4296,21.5538,21.47,21.329
1552510_at,24.267,23.8386,24.1862,23.8941
1552511_a_at,19.9385,20.4623,20.4544,20.0809
1552514_at,21.1743,20.7518,20.1343,20.6103
1552515_at,24.271,24.2192,24.5593,24.3294
1552516_a_at,21.1564,20.7999,21.379,20.8617
1552518_s_at,23.4616,23.5296,23.0595,23.1801
1552519_at,20.9883,21.1332,21.0987,21.3164
1552520_at,22.1584,22.2193,22.1256,22.2002
1552521_a_at,21.4362,21.5879,21.2187,21.6336
1552522_at,20.3153,20.7125,20.8926,20.8537
1552523_a_at,21.1239,21.3745,20.2706,20.9517
1552524_at,20.5092,20.8513,20.5343,20.4639
1552526_at,20.5514,20.0628,20.2814,20.0423
1552528_at,22.7549,23.2082,22.8709,23.2412
1552531_a_at,21.6295,21.3083,21.0772,21.2215
1552532_a_at,19.9187,19.7841,19.7627,20.625
1552535_at,22.4962,22.4115,22.9982,22.9304
1552536_at,21.6971,20.9558,21.6206,21.5784
1552538_a_at,20.6074,20.1168,20.1867,19.8505
1552540_s_at,22.1727,22.0286,22.2548,22.1668
1552541_at,22.4918,22.7543,22.8218,22.5829
1552542_s_at,20.9082,20.6796,20.9111,20.8987
1552543_a_at,20.7878,20.6136,21.0482,20.7701
1552544_at,20.7581,20.8257,20.8507,20.9754
1552546_a_at,22.3226,22.1912,22.349,22.3345
1552548_at,20.886,20.9529,21.0679,21.418
1552549_a_at,21.6586,21.5202,21.9386,22.017
1552552_s_at,20.9544,20.5633,21.3122,20.9372
1552553_a_at,19.979,20.8015,20.6379,20.9573
1552554_a_at,20.3942,20.34,20.1369,20.6782
1552555_at,23.7762,23.6856,23.7743,23.6395
1552557_a_at,20.9935,20.9981,20.986,20.945
1552558_a_at,22.9536,22.8661,23.1016,22.8514
1552559_a_at,20.2353,20.235,20.3064,20.4674
1552562_at,20.8126,20.982,20.5658,20.8798
1552563_a_at,20.744,20.6115,20.899,20.9026
1552564_at,19.8676,20.7984,19.83,20.4887
1552566_at,20.0538,20.3288,20.3736,20.096
1552568_at,22.7158,22.8396,22.7373,22.8005
1552569_a_at,21.6255,20.979,21.7407,20.4398
1552570_at,21.3307,22.454,21.767,22.2204
1552572_a_at,23.2812,22.6768,22.8339,22.5497
1552573_s_at,23.4963,23.0246,22.9551,22.6904
